DR_NO,Date Rptd,DATE OCC,TIME OCC,AREA,AREA NAME,Rpt Dist No,Part 1-2,Crm Cd,Crm Cd Desc,Mocodes,Vict Age,Vict Sex,Vict Descent,Premis Cd,Premis Desc,Weapon Used Cd,Weapon Desc,Status,Status Desc,Crm Cd 1,Crm Cd 2,Crm Cd 3,Crm Cd 4,LOCATION,Cross Street,LAT,LON
200122014,12/06/2020 12:00:00 AM,12/06/2020 12:00:00 AM,1930,01,Central,0162,2,624,BATTERY - SIMPLE ASSAULT,1822 0421 1218 0447 1202 2033 0910,66,F,W,801,MTA BUS,500,UNKNOWN WEAPON/OTHER WEAPON,IC,Invest Cont,624,,,,8TH                          ST,HILL                         ST,34.0452,-118.2569
200320495,11/17/2020 12:00:00 AM,11/16/2020 12:00:00 AM,2115,03,Southwest,0394,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),,0,,,101,STREET,,,IC,Invest Cont,420,,,,4300    2ND                          AV,,34.0041,-118.3193
200211325,06/14/2020 12:00:00 AM,06/14/2020 12:00:00 AM,1830,02,Rampart,0221,1,210,ROBBERY,0910 0344 1822 0432 0345 0305 0355 0346 0400 2048,51,M,B,906,MTA - RED LINE - VERMONT/BEVERLY,113,SIMULATED GUN,IC,Invest Cont,210,,,,300 N  VERMONT                      AV,,34.0777,-118.2961
200406978,03/16/2020 12:00:00 AM,03/14/2020 12:00:00 AM,0058,04,Hollenbeck,0443,1,510,VEHICLE - STOLEN,,0,,,108,PARKING LOT,,,IC,Invest Cont,510,,,,2300    CHARLOTTE                    ST,,34.0567,-118.2024
200512066,07/20/2020 12:00:00 AM,07/20/2020 12:00:00 AM,0750,05,Harbor,0585,1,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2003 0561 0913 0602 1202 1402 0416,60,F,B,501,SINGLE FAMILY DWELLING,311,HAMMER,AA,Adult Arrest,230,998,,,600 W  23RD                         ST,,33.7234,-118.2907
200607168,02/29/2020 12:00:00 AM,02/29/2020 12:00:00 AM,1915,06,Hollywood,0678,2,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,0400 0432 0421 0913,38,F,H,501,SINGLE FAMILY DWELLING,511,VERBAL THREAT,IC,Invest Cont,930,,,,700 N  ARDMORE                      AV,,34.0836,-118.3016
200306462,02/10/2020 12:00:00 AM,02/08/2020 12:00:00 AM,0045,03,Southwest,0328,1,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",0344,35,F,W,710,OTHER PREMISE,,,IC,Invest Cont,341,,,,600 W  JEFFERSON                    BL,,34.0268,-118.2808
201215770,07/01/2020 12:00:00 AM,03/01/2020 12:00:00 AM,0700,12,77th Street,1204,2,812,CRM AGNST CHLD (13 OR UNDER) (14-15 & SUSP 10 YRS OLDER),0913 0552 1258,7,F,H,501,SINGLE FAMILY DWELLING,400,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",AA,Adult Arrest,237,812,,,1400 W  45TH                         ST,,34.0028,-118.3007
201108617,04/22/2020 12:00:00 AM,04/07/2020 12:00:00 AM,1420,11,Northeast,1143,2,354,THEFT OF IDENTITY,0930 1822,48,M,H,707,GARAGE/CARPORT,,,IC,Invest Cont,354,,,,2900    SAINT GEORGE                 ST,,34.1097,-118.2739
201008496,04/28/2020 12:00:00 AM,04/25/2020 12:00:00 AM,1800,10,West Valley,1021,1,420,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),0344 1606 0354 0913 1810,59,M,O,101,STREET,,,AO,Adult Other,420,,,,7000    CORBIN                       AV,,34.1975,-118.5623
200111454,05/07/2020 12:00:00 AM,01/30/2020 12:00:00 AM,1800,01,Central,0174,1,510,VEHICLE - STOLEN,,0,,,707,GARAGE/CARPORT,,,IC,Invest Cont,510,,,,700 S  SPRING                       ST,,34.0445,-118.2523
